yearID,lgID,teamID,Half,divID,DivWin,Rank,G,W,L
1892,NL,BLN,1,,,12,75,20,55
1892,NL,BLN,2,,,10,77,26,46
1892,NL,BRO,1,,,2,78,51,26
1892,NL,BRO,2,,,3,80,44,33
1892,NL,BSN,1,,,1,75,52,22
1892,NL,BSN,2,,,2,77,50,26
1892,NL,CHN,1,,,8,71,31,39
1892,NL,CHN,2,,,7,76,39,37
1892,NL,CIN,1,,,4,77,44,31
1892,NL,CIN,2,,,8,78,38,37
1892,NL,CL4,1,,,5,74,40,33
1892,NL,CL4,2,,,1,79,53,23
1892,NL,LS3,1,,,11,77,30,47
1892,NL,LS3,2,,,9,77,33,42
1892,NL,NY1,1,,,10,74,31,43
1892,NL,NY1,2,,,6,79,40,37
1892,NL,PHI,1,,,3,77,46,30
1892,NL,PHI,2,,,5,78,41,36
1892,NL,PIT,1,,,6,76,37,39
1892,NL,PIT,2,,,4,79,43,34
1892,NL,SLN,1,,,9,74,31,42
1892,NL,SLN,2,,,11,81,25,52
1892,NL,WAS,1,,,7,76,35,41
1892,NL,WAS,2,,,12,77,23,52
1925,NNL,KCM,1,,,1,,,
1925,NNL,SLS,2,,,1,,,
1926,NNL,CAG,2,,,1,,,
1926,NNL,KCM,1,,,1,,,
1927,ECL,ACB,1,,,1,,,
1927,ECL,ACB,2,,,1,,,
1927,NNL,BBB,2,,,1,,,
1927,NNL,CAG,1,,,1,,,
1928,NNL,CAG,2,,,1,,,
1928,NNL,SLS,1,,,1,,,
1929,ANL,BBS,1,,,1,,,
1929,ANL,BBS,2,,,1,,,
1929,NNL,KCM,1,,,1,,,
1929,NNL,KCM,2,,,1,,,
1930,NNL,DS,2,,,1,,,
1930,NNL,SLS,1,,,1,,,
1931,NNL,SLS,1,,,1,,,
1931,NNL,SLS,2,,,1,,,
1932,NSL,CAG,1,,,1,,,
1932,NSL,NEG,2,,,1,,,
1933,NN2,CAG,1,,,1,,,
1933,NN2,PC,2,,,1,,,
1934,NN2,CAG,1,,,1,,,
1934,NN2,PS,2,,,1,,,
1935,NN2,NYC,2,,,1,,,
1935,NN2,PC,1,,,1,,,
1936,NN2,PC,2,,,1,,,
1936,NN2,WEG,1,,,1,,,
1937,NAL,CAG,2,,,1,,,
1937,NN2,HG,1,,,1,,,
1937,NN2,HG,2,,,1,,,
1937,NAL,KCM,1,,,1,,,
1938,NAL,BCA,2,,,1,,,
1938,NN2,HG,1,,,1,,,
1938,NN2,HG,2,,,1,,,
1938,NAL,MRS,1,,,1,,,
1939,NN2,HG,1,,,1,,,
1939,NN2,HG,2,,,1,,,
1939,NAL,KCM,1,,,1,,,
1939,NAL,SL3,2,,,1,,,
1940,NAL,KCM,1,,,1,,,
1940,NAL,KCM,2,,,1,,,
1941,NN2,HG,1,,,1,,,
1941,NN2,NYC,2,,,1,,,
1942,NN2,HG,1,,,1,,,
1942,NN2,HG,2,,,1,,,
1943,NAL,BBB,1,,,1,,,
1943,NAL,CAG,2,,,1,,,
1943,NN2,HG,1,,,1,,,
1943,NN2,HG,2,,,1,,,
1944,NAL,BBB,1,,,1,,,
1944,NAL,BBB,2,,,1,,,
1944,NN2,HG,1,,,1,,,
1944,NN2,HG,2,,,1,,,
1945,NAL,CBE,1,,,1,,,
1945,NAL,CBE,2,,,1,,,
1945,NN2,HG,1,,,1,,,
1945,NN2,HG,2,,,1,,,
1946,NAL,KCM,1,,,1,,,
1946,NAL,KCM,2,,,1,,,
1946,NN2,NE,1,,,1,,,
1946,NN2,NE,2,,,1,,,
1948,NAL,BBB,1,,,1,,,
1948,NN2,BEG,1,,,1,,,
1948,NN2,HG,2,,,1,,,
1948,NAL,KCM,2,,,1,,,
1981,NL,ATL,1,W,N,4,54,25,29
1981,NL,ATL,2,W,N,5,52,25,27
1981,AL,BAL,1,E,N,2,54,31,23
1981,AL,BAL,2,E,N,4,51,28,23
1981,AL,BOS,1,E,N,5,56,30,26
1981,AL,BOS,2,E,N,2,52,29,23
1981,AL,CAL,1,W,N,4,60,31,29
1981,AL,CAL,2,W,N,6,50,20,30
1981,AL,CHA,1,W,N,3,53,31,22
1981,AL,CHA,2,W,N,6,53,23,30
1981,NL,CHN,1,E,N,6,52,15,37
1981,NL,CHN,2,E,N,5,51,23,28
1981,NL,CIN,1,W,N,2,56,35,21
1981,NL,CIN,2,W,N,2,52,31,21
1981,AL,CLE,1,E,N,6,50,26,24
1981,AL,CLE,2,E,N,5,53,26,27
1981,AL,DET,1,E,N,4,57,31,26
1981,AL,DET,2,E,N,2,52,29,23
1981,NL,HOU,1,W,N,3,57,28,29
1981,NL,HOU,2,W,N,1,53,33,20
1981,AL,KCA,1,W,N,5,50,20,30
1981,AL,KCA,2,W,N,1,53,30,23
1981,NL,LAN,1,W,N,1,57,36,21
1981,NL,LAN,2,W,N,4,53,27,26
1981,AL,MIN,1,W,N,7,56,17,39
1981,AL,MIN,2,W,N,4,53,24,29
1981,AL,ML4,1,E,N,3,56,31,25
1981,AL,ML4,2,E,N,1,53,31,22
1981,NL,MON,1,E,N,3,55,30,25
1981,NL,MON,2,E,N,1,53,30,23
1981,AL,NYA,1,E,N,1,56,34,22
1981,AL,NYA,2,E,N,5,51,25,26
1981,NL,NYN,1,E,N,5,51,17,34
1981,NL,NYN,2,E,N,4,52,24,28
1981,AL,OAK,1,W,N,1,60,37,23
1981,AL,OAK,2,W,N,2,49,27,22
1981,NL,PHI,1,E,N,1,55,34,21
1981,NL,PHI,2,E,N,3,52,25,27
1981,NL,PIT,1,E,N,4,48,25,23
1981,NL,PIT,2,E,N,6,54,21,33
1981,NL,SDN,1,W,N,6,56,23,33
1981,NL,SDN,2,W,N,6,54,18,36
1981,AL,SEA,1,W,N,6,57,21,36
1981,AL,SEA,2,W,N,5,52,23,29
1981,NL,SFN,1,W,N,5,59,27,32
1981,NL,SFN,2,W,N,3,52,29,23
1981,NL,SLN,1,E,N,2,50,30,20
1981,NL,SLN,2,E,N,2,52,29,23
1981,AL,TEX,1,W,N,2,55,33,22
1981,AL,TEX,2,W,N,3,50,24,26
1981,AL,TOR,1,E,N,7,58,16,42
1981,AL,TOR,2,E,N,6,48,21,27
