playerID,schoolID,yearID
birkbmi01,akron,1980
birkbmi01,akron,1981
birkbmi01,akron,1982
birkbmi01,akron,1983
dilauja01,akron,1962
malasma01,akron,1998
malasma01,akron,1999
malasma01,akron,2000
nealejo01,akron,1893
avilaal01,alabama,2006
avilaal01,alabama,2007
avilaal01,alabama,2008
barnere01,alabama,1924
barnere01,alabama,1925
barnere01,alabama,1926
booneda01,alabama,1917
booneda01,alabama,1918
booneda01,alabama,1919
booneik01,alabama,1919
booneik01,alabama,1920
bradfvi01,alabama,1938
bradfvi01,alabama,1939
brownje02,alabama,1999
brownje02,alabama,2000
brownje02,alabama,2001
brownje02,alabama,2002
campbjo01,alabama,1925
campbjo01,alabama,1926
campbjo01,alabama,1927
cohenan01,alabama,1923
cohenan01,alabama,1924
cohenan01,alabama,1925
cohensy01,alabama,1925
cohensy01,alabama,1926
cohensy01,alabama,1927
connabr01,alabama,1925
connabr01,alabama,1926
cormila01,alabama,1999
cormila01,alabama,2000
cormila01,alabama,2001
cormila01,alabama,2002
downsma01,alabama,2004
downsma01,alabama,2005
downsma01,alabama,2006
dunnji01,alabama,1947
elmorve01,alabama,1922
elmorve01,alabama,1923
freemhe01,alabama,1947
gilligr01,alabama,1922
gilligr01,alabama,1923
gilligr01,alabama,1924
hayesja02,alabama,1926
hayesja02,alabama,1927
hibbagr01,alabama,1985
hibbagr01,alabama,1986
hilchwh01,alabama,1929
hilchwh01,alabama,1930
hobsobu01,alabama,1970
hobsobu01,alabama,1971
hobsobu01,alabama,1972
hobsobu01,alabama,1973
hunteto02,alabama,2006
hunteto02,alabama,2007
huntra01,alabama,1981
kellybr01,alabama,1981
kubisja01,alabama,1956
kubisja01,alabama,1957
kubisja01,alabama,1958
laryal01,alabama,1950
laryal01,alabama,1951
laryfr01,alabama,1949
laryfr01,alabama,1950
leblawa01,alabama,2004
leblawa01,alabama,2005
leblawa01,alabama,2006
magadda01,alabama,1981
magadda01,alabama,1982
magadda01,alabama,1983
menecfr01,alabama,1992
menecfr01,alabama,1993
mohrdu01,alabama,1995
mohrdu01,alabama,1996
mohrdu01,alabama,1997
nelsoji02,alabama,2008
nelsoji02,alabama,2009
nelsoji02,alabama,2010
peppera01,alabama,1926
peppera01,alabama,1927
phillan01,alabama,1996
phillan01,alabama,1997
phillan01,alabama,1998
phillan01,alabama,1999
phillpa01,alabama,1998
prattde01,alabama,1908
prattde01,alabama,1909
prattfr01,alabama,1917
prattfr01,alabama,1918
prattfr01,alabama,1920
prattfr01,alabama,1921
roberda08,alabama,2005
roberda08,alabama,2006
rogerle01,alabama,1934
rogerle01,alabama,1935
rosenma01,alabama,1922
rosenma01,alabama,1923
rosenma01,alabama,1924
rutlejo01,alabama,2008
rutlejo01,alabama,2009
rutlejo01,alabama,2010
sanfomo01,alabama,1985
sanfomo01,alabama,1986
sanfomo01,alabama,1987
sanfomo01,alabama,1988
scalzsk01,alabama,1935
scalzsk01,alabama,1936
scottle01,alabama,1933
scottle01,alabama,1934
searske01,alabama,1936
searske01,alabama,1937
searske01,alabama,1938
seweljo01,alabama,1917
seweljo01,alabama,1918
seweljo01,alabama,1919
seweljo01,alabama,1920
sewellu01,alabama,1919
sewellu01,alabama,1920
sewellu01,alabama,1921
sewelto01,alabama,1926
sewelto01,alabama,1927
sheehji01,alabama,1934
shiplcr01,alabama,1982
shiplcr01,alabama,1983
shiplcr01,alabama,1984
singtfr01,alabama,1929
singtfr01,alabama,1930
singtfr01,alabama,1931
sprowbo01,alabama,1975
sprowbo01,alabama,1976
sprowbo01,alabama,1977
stephri01,alabama,1918
stephri01,alabama,1919
stephri01,alabama,1920
stylele01,alabama,1916
stylele01,alabama,1917
stylele01,alabama,1918
stylele01,alabama,1919
taborji01,alabama,1935
taborji01,alabama,1936
tanketa01,alabama,2002
tanketa01,alabama,2003
tanketa01,alabama,2004
vitiejo01,alabama,1989
vitiejo01,alabama,1990
vitiejo01,alabama,1991
whiteed01,alabama,1948
whiteed01,alabama,1949
whiteed01,alabama,1950
wingaer01,alabama,1920
wingaer01,alabama,1921
worthal01,alabama,1949
worthal01,alabama,1950
worthal01,alabama,1951
youngti01,alabama,1995
youngti01,alabama,1996
peterha02,alabamaam,
streesa01,alabamaam,
anderbi03,alabamast1929,
colliat01,alabamast1929,
davispi01,alabamast1929,
duncawa01,alabamast1929,
frazior01,alabamast1929,
lewisfr03,alabamast1929,
woodspa01,alabamast1929,
simonja01,albertsnid,1996
redmapr01,albevil,1998
redmapr01,albevil,1999
posadjo01,alcalho,1990
posadjo01,alcalho,1991
redusga01,alcalho,1975
redusga01,alcalho,1976
tatera01,alcalho,1971
tatera01,alcalho,1972
tatest01,alcalho,1981
tatest01,alcalho,1982
coxda01,alchatt,1978
coxda01,alchatt,1979
hudsoti01,alchatt,1994
hudsoti01,alchatt,1995
huntra01,alchatt,1979
huntra01,alchatt,1980
jamesch03,alchatt,2001
jamesch03,alchatt,2002
bailepe01,alcornst1878,
fostebi99,alcornst1878,
owensau01,alcornst1878,
powelma02,alcornst1878,
scottll01,alcornst1878,
waltoje01,alenter,1985
waltoje01,alenter,1986
willida06,alenter,1982
willida06,alenter,1983
reynosh01,alfaulk,1987
reynosh01,alfaulk,1988
sparkst02,alfaulk,1995
sparkst02,alfaulk,1996
staplda01,alfscco,1972
staplda01,alfscco,1973
wardtu01,alfscco,1984
wardtu01,alfscco,1985
jelksgr01,algadsd,1981
