ID,parkalias,parkkey,parkname,city,state,country
256,Greenbush Grounds,ALB01,Riverside Park,Rensselaer,NY,US
257,Fourth Avenue Grounds,ALT01,Columbia Park,Altoona,PA,US
258,Edison Field; Anaheim Stadium,ANA01,Angel Stadium of Anaheim,Anaheim,CA,US
259,,ARL01,Arlington Stadium,Arlington,TX,US
260,The Ballpark in Arlington; Ameriquest Field in Arlington; Rangers Ballpark in Arlington,ARL02,Globe Life Park in Arlington,Arlington,TX,US
261,Fulton County Stadium; Atlanta Stadium,ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,US
262,Centennial Olympic Stadium,ATL02,Turner Field,Atlanta,GA,US
263,SunTrust Park,ATL03,Truist Park,Atlanta,GA,US
264,Monumental Park,BAL01,Madison Avenue Grounds,Baltimore,MD,US
265,,BAL02,Newington Park,Baltimore,MD,US
266,Huntingdon Avenue Park; American Association Park,BAL03,Oriole Park I,Baltimore,MD,US
267,Union Park; Union Association Grounds,BAL04,Belair Lot,Baltimore,MD,US
269,,BAL06,Oriole Park II,Baltimore,MD,US
270,Union Park,BAL07,Oriole Park III,Baltimore,MD,US
271,American League Park,BAL09,Oriole Park IV,Baltimore,MD,US
272,Oriole Park V,BAL10,Terrapin Park,Baltimore,MD,US
273,Baltimore Memorial Stadium,BAL11,Memorial Stadium,Baltimore,MD,US
274,Camden Yards,BAL12,Oriole Park at Camden Yards,Baltimore,MD,US
275,Walpole Street Grounds; Union Baseball Grounds; Boston National League Base Ball Park; Boston Base Ball Grounds,BOS01,South End Grounds I,Boston,MA,US
276,Union Park; Union Athletic Grounds; Union Grounds,BOS02,Dartmouth Grounds,Boston,MA,US
277,Grand Pavilion,BOS03,South End Grounds II,Boston,MA,US
278,,BOS04,Congress Street Grounds,Boston,MA,US
279,Boston National League Base Ball Park,BOS05,South End Grounds III,Boston,MA,US
280,,BOS06,Huntington Avenue Baseball Grounds,Boston,MA,US
281,,BOS07,Fenway Park,Boston,MA,US
282,National League Park,BOS08,Braves Field,Boston,MA,US
283,Riverside Park,BUF01,Riverside Grounds,Buffalo,NY,US
284,,BUF02,Olympic Park I,Buffalo,NY,US
285,Buffalo Baseball Park,BUF03,Olympic Park II,Buffalo,NY,US
286,International Fair Association Grounds,BUF04,Federal League Park,Buffalo,NY,US
287,League Park,CAN01,Mahaffey Park,Canton,OH,US
288,,CAN02,Pastime Park,Canton,OH,US
289,Union Base-Ball Grounds; White-Stocking Park,CHI01,Lake Front Park I,Chicago,IL,US
290,,CHI02,23rd Street Park,Chicago,IL,US
291,Lake-Shore Park; Lake Front Park; Lake Park,CHI03,Lake Front Park II,Chicago,IL,US
292,Cricket Club Grounds; Union Base Ball Park; 39th Street Grounds,CHI05,South Side Park I,Chicago,IL,US
293,,CHI06,West Side Park,Chicago,IL,US
294,White Stocking Park; Brotherhood Park,CHI07,South Side Park II,Chicago,IL,US
295,West Side Park; Garden City Athletic Club,CHI08,West Side Grounds,Chicago,IL,US
296,Schorling Park; Schorling's Park II; Cole's Park; American Giants Park; White Sox Park,CHI09,South Side Park III,Chicago,IL,US
297,White Sox Park,CHI10,Comiskey Park I,Chicago,IL,US
298,Weeghman Park; Cubs Park,CHI11,Wrigley Field,Chicago,IL,US
299,U.S. Cellular Field; White Sox Park; Comiskey Park II; Guaranteed Rate Field,CHI12,Rate Field,Chicago,IL,US
300,Union Grounds; Union Cricket Club Grounds,CIN01,Lincoln Park Grounds,Cincinnati,OH,US
301,Brighton Park; Cincinnati Baseball Park,CIN02,Avenue Grounds,Cincinnati,OH,US
302,Bank-Street Grounds; Union Athletic Park,CIN03,Bank Street Grounds,Cincinnati,OH,US
303,Cincinnati Base Ball Grounds; Western Avenue Grounds; American Park,CIN04,League Park I,Cincinnati,OH,US
304,,CIN05,League Park II,Cincinnati,OH,US
305,League Park III,CIN06,Palace of the Fans,Cincinnati,OH,US
306,Redland Field,CIN07,Crosley Field,Cincinnati,OH,US
307,Riverfront Stadium,CIN08,Cinergy Field,Cincinnati,OH,US
308,,CIN09,Great American Ballpark,Cincinnati,OH,US
309,,CLE01,National Association Grounds,Cleveland,OH,US
310,National League Park I; Kennard Street Baseball Grounds; Kennard Street Park,CLE02,League Park I,Cleveland,OH,US
311,National League Park II; American Association Park; Association Park; Association Park,CLE03,League Park II,Cleveland,OH,US
312,Players League Park,CLE04,Brotherhood Park,Cleveland,OH,US
313,National League Park III,CLE05,League Park III,Cleveland,OH,US
314,Dunn Field,CLE06,League Park IV,Cleveland,OH,US
315,Municipal Stadium; Lakefront Stadium; Cleveland Municipal Stadium,CLE07,Cleveland Stadium,Cleveland,OH,US
316,Jacobs Field,CLE08,Progressive Field,Cleveland,OH,US
317,,CLE09,Cedar Avenue Driving Park,Cleveland,OH,US
318,,CLL01,Euclid Beach Park,Collinwood,OH,US
319,,COL01,Recreation Park I,Columbus,OH,US
320,,COL02,Recreation Park II,Columbus,OH,US
321,,COL03,Neil Park I,Columbus,OH,US
322,,COL04,Neil Park II,Columbus,OH,US
323,,COV01,Star Baseball Park,Covington,KY,US
324,,DAY01,Fairview Park,Dayton,OH,US
325,Bears Stadium,DEN01,Mile High Stadium,Denver,CO,US
326,,DEN02,Coors Field,Denver,CO,US
327,,DET01,Recreation Park,Detroit,MI,US
328,,DET02,Bennett Park,Detroit,MI,US
329,West End Park,DET03,Burns Park,Detroit,MI,US
330,Navin Field; Briggs Stadium,DET04,Tiger Stadium,Detroit,MI,US
331,,DET05,Comerica Park,Detroit,MI,US
332,Dover Grounds,DOV01,Fairview Park Fair Grounds,Dover,DE,US
333,Elmira Grounds,ELM01,Maple Avenue Driving Park,Elmira,NY,US
334,Grand Duchess; Hamilton Field,FOR01,Kekionga Ball Grounds,Fort Wayne,IN,US
335,,FOR03,Jailhouse Flats,Fort Wayne,IN,US
336,,FTB01,Fort Bragg Field,Fort Bragg,NC,US
337,,GEA01,Geauga Lake Grounds,Bainbridge Township,OH,US
338,,GLO01,Gloucester Point Grounds,Gloucester City,NJ,US
339,,GLO02,Gloucester Fireworks Park,Gloucester City,NJ,US
340,,GRA01,Ramona Park,Grand Rapids,MI,US
341,Federal Baseball Park,HAR01,Harrison Field,Harrison,NJ,US
342,,HOB01,Elysian Fields,Hoboken,NJ,US
343,,HON01,Aloha Stadium,Honolulu,HI,US
344,Estadio Superior; Estadio Ángel Castro; Estadio de Béisbol Mecano; Millón de Tuercas,HOU01,Colt Stadium,Houston,TX,US
345,,HOU02,Astrodome,Houston,TX,US
346,The Ballpark at Union Station; Enron Field; Astros Field; Minute Maid Park,HOU03,Daikin Park,Houston,TX,US
347,,HRT01,Hartford Ball Club Grounds,Hartford,CT,US
348,,HRT02,Hartford Trotting Park,Hartford,CT,US
349,South Street Grounds; National Park,IND01,South Street Park,Indianapolis,IN,US
350,Tinker Park; Athletic Park,IND02,Seventh Street Park I,Indianapolis,IN,US
351,Bruce Park; Bruce's Park,IND03,Bruce Grounds,Indianapolis,IN,US
352,Tinker Park; Athletic Park,IND04,Seventh Street Park II,Indianapolis,IN,US
353,Tinker Park; Athletic Park,IND05,Seventh Street Park III,Indianapolis,IN,US
354,Athletic Park II; League Park,IND06,Indianapolis Park,Indianapolis,IN,US
355,Washington Park,IND07,Federal League Park,Indianapolis,IN,US
356,Windsor Beach Grounds,IRO01,Windsor Beach,Irondequoit,NY,US
357,Oakland Athletic Association Field,JER01,Oakdale Park,Jersey City,NJ,US
358,Jersey City Roosevelt Stadium,JER02,Roosevelt Stadium,Jersey City,NJ,US
359,,KAN01,Athletic Park,Kansas City,MO,US
360,Association Park I; League Park,KAN02,Association Park,Kansas City,MO,US
361,,KAN03,Exposition Park,Kansas City,MO,US
362,Gordon and Koppel Stadium; Gordon-Koppel Field; Gordon & Koppel Field; Gordon & Koppel Stadium,KAN04,Gordon and Koppel Field,Kansas City,MO,US
363,Muehlebach Field; Ruppert Stadium; Blues Stadium,KAN05,Municipal Stadium,Kansas City,MO,US
364,Royals Stadium,KAN06,Kauffman Stadium,Kansas City,MO,US
365,Walte's Pasture,KEO01,Perry Park,Keokuk,IA,US
366,,LAS01,Cashman Field,Las Vegas,NV,US
367,The Ballpark; Cracker Jack Stadium; The Ballpark at Disney's Wide World of Sports; Champion Stadium,LBV01,The Stadium at the ESPN Wide World of Sports,Lake Buena Vista,FL,US
368,Olympic Stadium; Stadium at Queen Elizabeth Olympic Park,LON01,London Stadium,London,ENG,UK
369,Los Angeles Coliseum; L.A. Coliseum; Olympic Stadium,LOS01,Los Angeles Memorial Coliseum,Los Angeles,CA,US
370,,LOS02,Wrigley Field,Los Angeles,CA,US
371,Chavez Ravine,LOS03,Dodger Stadium,Los Angeles,CA,US
372,Louisville Baseball Grounds,LOU01,Louisville Baseball Park,Louisville,KY,US
373,,LOU02,Eclipse Park I,Louisville,KY,US
374,,LOU03,Eclipse Park II,Louisville,KY,US
375,,LOU04,Eclipse Park III,Louisville,KY,US
376,,LUD01,Ludlow Baseball Park,Ludlow,KY,US
377,Maspeth Ball Grounds; Long Island Recreation Grounds,MAS01,Long Island Grounds,Maspeth,NY,US
378,Joe Robbie Stadium; Pro Player Park; Pro Player Stadium; Dolphins Stadium; Dolphin Stadium; Land Shark Stadium; Sun Life Stadium,MIA01,Hard Rock Stadium,Miami,FL,US
379,Marlins Park,MIA02,loanDepot park,Miami,FL,US
380,Mansfield Park; Fort Hill Grounds,MID01,Mansfield Club Grounds,Middletown,CT,US
381,Milwaukee Base-Ball Grounds,MIL01,Eclipse Park,Milwaukee,WI,US
382,,MIL02,Wright Street Grounds,Milwaukee,WI,US
383,Borchert Field; Borchert Park,MIL03,Athletic Park,Milwaukee,WI,US
384,,MIL04,Lloyd Street Grounds,Milwaukee,WI,US
385,Milwaukee County Stadium; Milwaukee County Municipal Stadium,MIL05,County Stadium,Milwaukee,WI,US
386,Miller Park,MIL06,American Family Field,Milwaukee,WI,US
387,,MIN01,Athletic Park,Minneapolis,MN,US
388,Met Stadium,MIN02,Metropolitan Stadium,Bloomington,MN,US
389,Metrodome,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,US
390,,MIN04,Target Field,Minneapolis,MN,US
391,Estadio de Béisbol Monterrey; Estadio Mobil Super; Palacio Sultán,MNT01,Estadio Monterrey,Monterrey,Nuevo Leon,MX
392,Jarry Park Stadium; Jarry Park,MON01,Stade Parc Jarry,Montreal,QC,CA
393,Olympic Stadium,MON02,Stade Olympique,Montreal,QC,CA
394,Brewster Park; Hamilton Park,NEW01,Howard Avenue Grounds,New Haven,CT,US
395,Brewster Park; Howard Avenue Grounds,NEW02,Hamilton Park,New Haven,CT,US
396,,NEW03,Beyerle's Park,Newburgh Township,OH,US
397,Wiedenmeyer's Park,NWK01,Wiedenmayer's Park,Newark,NJ,US
398,,NYC01,Union Grounds,Brooklyn,NY,US
399,Capitoline Skating Lake and Base Ball Ground,NYC02,Capitoline Grounds,Brooklyn,NY,US
400,Polo Field East; the polo grounds,NYC03,Polo Grounds I (Southeast Diamond),New York,NY,US
401,Polo Field West; Metropolitan Field,NYC04,Polo Grounds II (Southwest Diamond),New York,NY,US
402,,NYC05,Washington Park I,Brooklyn,NY,US
403,,NYC06,Metropolitan Park,New York,NY,US
404,Grauer's Ridgewood Park; Grauer's Woods; Ridgewood Grounds,NYC07,Ridgewood Park I,Queens,NY,US
405,,NYC08,Washington Park II,Brooklyn,NY,US
406,New Polo Grounds; Manhattan Field,NYC09,Polo Grounds III,New York,NY,US
407,New Polo Grounds; Brotherhood Park,NYC10,Polo Grounds IV,New York,NY,US
408,,NYC11,Eastern Park,Brooklyn,NY,US
409,,NYC12,Washington Park III,Brooklyn,NY,US
410,American League Park,NYC13,Hilltop Park,New York,NY,US
411,Brush Stadium,NYC14,Polo Grounds V,New York,NY,US
412,,NYC15,Ebbets Field,Brooklyn,NY,US
413,,NYC16,Yankee Stadium I,New York,NY,US
414,Flushing Meadow Park Municipal Stadium; William A. Shea Municipal Stadium,NYC17,Shea Stadium,New York,NY,US
415,Wallace's Ridgewood Park; Wallace Grounds,NYC18,Ridgewood Park II,Queens,NY,US
416,,NYC19,Washington Park IV,Brooklyn,NY,US
417,,NYC20,Citi Field,New York,NY,US
418,,NYC21,Yankee Stadium II,New York,NY,US
419,Oakland Coliseum; Network Associates Coliseum; McAfee Coliseum; Overstock.com Coliseum; O.co Coliseum; RingCentral Coliseum,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,US
420,TD Ameritrade Park Omaha,OMA01,Charles Schwab Field Omaha,Omaha,NE,US
421,Pendleton Park,PEN01,East End Park,Cincinnati,OH,US
422,Athletics Park; Twenty-Fifth and Jefferson Streets; Olympic Ball Ground,PHI01,Jefferson Street Grounds,Philadelphia,PA,US
423,Centennial Grounds,PHI02,Centennial Park,Philadelphia,PA,US
424,,PHI03,Oakdale Park,Philadelphia,PA,US
425,,PHI04,Recreation Park,Philadelphia,PA,US
426,,PHI05,Keystone Park,Philadelphia,PA,US
427,Philadelphia Baseball Grounds; National League Park,PHI06,Huntingdon Grounds I,Philadelphia,PA,US
428,Brotherhood Park,PHI07,Forepaugh Park,Philadelphia,PA,US
429,University of Penn. Athletic Field,PHI08,University of Pennsylvania Athletic Field,Philadelphia,PA,US
430,Philadelphia Baseball Grounds; National League Park,PHI09,Baker Bowl,Philadelphia,PA,US
431,Columbia Avenue Grounds,PHI10,Columbia Park,Philadelphia,PA,US
432,Connie Mack Stadium,PHI11,Shibe Park,Philadelphia,PA,US
433,,PHI12,Veterans Stadium,Philadelphia,PA,US
434,,PHI13,Citizens Bank Park,Philadelphia,PA,US
435,Philadelphia Baseball Grounds; National League Park,PHI14,Huntingdon Grounds II,Philadelphia,PA,US
436,Bank One Ballpark,PHO01,Chase Field,Phoenix,AZ,US
437,,PIT01,Union Park,Pittsburgh,PA,US
438,,PIT02,Exposition Park I,Pittsburgh,PA,US
439,,PIT03,Exposition Park II,Pittsburgh,PA,US
440,Union Park; 3A Park; the Coliseum,PIT04,Recreation Park,Pittsburgh,PA,US
441,,PIT05,Exposition Park III,Pittsburgh,PA,US
442,,PIT06,Forbes Field,Pittsburgh,PA,US
443,,PIT07,Three Rivers Stadium,Pittsburgh,PA,US
444,,PIT08,PNC Park,Pittsburgh,PA,US
445,Adelaide Park I,PRO01,Adelaide Avenue Grounds,Providence,RI,US
446,Messer Park; Messer Field,PRO02,Messer Street Grounds,Providence,RI,US
447,Fair Grounds Park,RCK01,Agricultural Society Fair Grounds,Rockford,IL,US
448,,RIC01,Richmond Fair Grounds,Richmond,VA,US
449,,RIC02,Allens Pasture,Richmond,VA,US
450,,ROC01,Culver Field I,Rochester,NY,US
451,,ROC02,Culver Field II,Rochester,NY,US
452,,ROC03,Ontario Beach Grounds,Rochester,NY,US
453,St. George Grounds,SAI01,St. George Cricket Grounds,New York,NY,US
454,San Diego Stadium; Jack Murphy Stadium; SDCCU Stadium,SAN01,Qualcomm Stadium,San Diego,CA,US
455,,SAN02,Petco Park,San Diego,CA,US
456,Sick's Seattle Stadium; Sicks' Stadium,SEA01,Sick's Stadium,Seattle,WA,US
457,King County Stadium,SEA02,Kingdome,Seattle,WA,US
458,Safeco Field,SEA03,T-Mobile Park,Seattle,WA,US
459,,SFO01,Seals Stadium,San Francisco,CA,US
460,Bay View Stadium; 3Com Park; 3Com Park at Candlestick Point,SFO02,Candlestick Park,San Francisco,CA,US
461,Pacific Bell Park; SBC Park,SFO03,AT&T Park,San Francisco,CA,US
